run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR1662181	PRJEB15541	SAMEA4470834	ERX1732502	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662181/ERR1662181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662181/ERR1662181_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662181/FS841_AAGGGA_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662181/FS841_AAGGGA_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/001/ERR1662181	
ERR1662182	PRJEB15541	SAMEA4470834	ERX1732503	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR1662182/ERR1662182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR1662182/ERR1662182_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662182/FS841_AAGGGA_L004_R1_002.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662182/FS841_AAGGGA_L004_R2_002.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/002/ERR1662182	
ERR1662186	PRJEB15541	SAMEA4470834	ERX1732507	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662186/ERR1662186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662186/ERR1662186_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662186/FS841_AAGGGA_L003_R1_002.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662186/FS841_AAGGGA_L003_R2_002.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/006/ERR1662186	
ERR1662187	PRJEB15541	SAMEA4470834	ERX1732508	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662187/ERR1662187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662187/ERR1662187_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662187/FS841_AAGGGA_L004_R1_003.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662187/FS841_AAGGGA_L004_R2_003.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/007/ERR1662187	
ERR1662197	PRJEB15541	SAMEA4470834	ERX1732518	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662197/ERR1662197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662197/ERR1662197_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662197/FS841_AAGGGA_L005_R1_004.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662197/FS841_AAGGGA_L005_R2_004.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/007/ERR1662197	
ERR1662200	PRJEB15541	SAMEA4470838	ERX1732521	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662200/ERR1662200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662200/ERR1662200_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662200/FS849_CCTTCA_L004_R1_002.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662200/FS849_CCTTCA_L004_R2_002.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/000/ERR1662200	
ERR1662205	PRJEB15541	SAMEA4470838	ERX1732526	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662205/ERR1662205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662205/ERR1662205_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662205/FS849_CCTTCA_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662205/FS849_CCTTCA_L004_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/005/ERR1662205	
ERR1662209	PRJEB15541	SAMEA4470839	ERX1732530	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662209/ERR1662209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662209/ERR1662209_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662209/FS851_GGACCC_L004_R1_004.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662209/FS851_GGACCC_L004_R2_004.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/009/ERR1662209	
ERR1662211	PRJEB15541	SAMEA4470839	ERX1732532	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662211/ERR1662211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662211/ERR1662211_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662211/FS851_GGACCC_L006_R1_004.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662211/FS851_GGACCC_L006_R2_004.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/001/ERR1662211	
ERR1662215	PRJEB15541	SAMEA4470839	ERX1732536	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662215/ERR1662215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662215/ERR1662215_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662215/FS851_GGACCC_L006_R1_005.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662215/FS851_GGACCC_L006_R2_005.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/005/ERR1662215	
ERR1662216	PRJEB15541	SAMEA4470839	ERX1732537	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662216/ERR1662216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662216/ERR1662216_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662216/FS851_GGACCC_L003_R1_003.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662216/FS851_GGACCC_L003_R2_003.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/006/ERR1662216	
ERR1662220	PRJEB15541	SAMEA4470839	ERX1732541	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662220/ERR1662220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662220/ERR1662220_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662220/FS851_GGACCC_L003_R1_004.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662220/FS851_GGACCC_L003_R2_004.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/000/ERR1662220	
ERR1662226	PRJEB15541	SAMEA4470839	ERX1732547	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662226/ERR1662226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662226/ERR1662226_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662226/FS851_GGACCC_L006_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662226/FS851_GGACCC_L006_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/006/ERR1662226	
ERR1662229	PRJEB15541	SAMEA4470839	ERX1732550	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662229/ERR1662229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662229/ERR1662229_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662229/FS851_GGACCC_L006_R1_002.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662229/FS851_GGACCC_L006_R2_002.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/009/ERR1662229	
ERR1662230	PRJEB15541	SAMEA4470839	ERX1732551	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662230/ERR1662230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662230/ERR1662230_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662230/FS851_GGACCC_L004_R1_003.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662230/FS851_GGACCC_L004_R2_003.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/000/ERR1662230	
ERR1662237	PRJEB15541	SAMEA4470840	ERX1732558	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662237/ERR1662237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662237/ERR1662237_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662237/FS852_TTCAGC_L003_R1_002.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662237/FS852_TTCAGC_L003_R2_002.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/007/ERR1662237	
ERR1662238	PRJEB15541	SAMEA4470840	ERX1732559	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662238/ERR1662238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662238/ERR1662238_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662238/FS852_TTCAGC_L004_R1_002.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662238/FS852_TTCAGC_L004_R2_002.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/008/ERR1662238	
ERR1662243	PRJEB15541	SAMEA4470840	ERX1732564	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662243/ERR1662243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662243/ERR1662243_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662243/FS852_TTCAGC_L005_R1_003.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662243/FS852_TTCAGC_L005_R2_003.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/003/ERR1662243	
ERR1662245	PRJEB15541	SAMEA4470843	ERX1732566	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662245/ERR1662245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662245/ERR1662245_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662245/FS866_TTCGCT_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662245/FS866_TTCGCT_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/005/ERR1662245	
ERR1662246	PRJEB15541	SAMEA4470843	ERX1732567	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662246/ERR1662246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662246/ERR1662246_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662246/FS866_TTCGCT_L003_R1_004.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662246/FS866_TTCGCT_L003_R2_004.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/006/ERR1662246	
ERR1662254	PRJEB15541	SAMEA4470843	ERX1732575	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662254/ERR1662254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662254/ERR1662254_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662254/FS866_TTCGCT_L006_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662254/FS866_TTCGCT_L006_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/004/ERR1662254	
ERR1662260	PRJEB15541	SAMEA4470844	ERX1732581	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662260/ERR1662260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662260/ERR1662260_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662260/FS872_AAGACG_L004_R1_003.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662260/FS872_AAGACG_L004_R2_003.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/000/ERR1662260	
ERR1662266	PRJEB15541	SAMEA4470844	ERX1732587	652676	hydrothermal vent metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662266/ERR1662266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662266/ERR1662266_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662266/FS872_AAGACG_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR166/ERR1662266/FS872_AAGACG_L004_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR166/006/ERR1662266	
