	gene_group	mG_FS851	mG_FS852	mG_FS854	mG_FS856
0	ech hydrogenase (echABCE)	4.182776801405975	5.071428571428571	2.967098943323727	3.2502768549280177
1	energy-converting hydrogenase A (ehaBCEGNOP)	6.622729935559461	8.875	5.53073967339097	5.924695459579181
2	energy-converting hydrogenase B (ehbAHFIJKLNO)	3.444639718804921	3.732142857142857	2.9797070124879923	2.8460686600221483
3	coenzyme F420 hydrogenase (frhABDG)	9.739308728763913	13.660714285714286	8.863472622478385	9.50719822812846
4	hydrogenase (hyaABC/hybO/hybC)	4.203280609256004	4.607142857142857	2.870437079731028	3.1063122923588042
5	[NiFe] hydrogenase (hydAB)	1.968365553602812	2.0357142857142856	1.0969020172910662	1.1794019933554818
6	methane/ammonia monooxygenase (pmoA-amoA)	0.020503807850029292	0.0	0.012608069164265129	0.005537098560354375
7	methyl-coenzyme M reductase (mcrABCDG)	0.16403046280023434	0.16071428571428573	0.18912103746397693	0.14396456256921375
8	nitrous-oxide reductase (nosZ)	0.4305799648506151	0.5	0.27737752161383283	0.19933554817275748
9	nitrite reductase (NO-forming)/hydroxylamine reductase (nirKS)	1.7838312829525482	2.1785714285714284	1.634846301633045	1.4451827242524917
10	nitric oxide reductase (norB)	0.6766256590509666	0.42857142857142855	0.6976464937560038	0.5592469545957918
11	nitrite reductase (cytochrome c-552) (nrfA)	0.6561218512009374	1.0714285714285714	0.7396733909702209	0.6589147286821706
12	cytochrome c oxidase (coxABCD/AC/ctaF)	4.756883421206796	4.696428571428571	4.921349663784822	3.7541528239202657
13	cytochrome c oxidase cbb3-type (ccoNOPQ_NO)	6.089630931458699	6.321428571428571	6.720100864553314	6.450719822812847
14	carbon-monoxide dehydrogenase (cooCFS/acsA)	7.914469830111306	10.892857142857142	9.884726224783861	10.675526024363235
15	ATP-citrate lyase (aclAB)	1.127709431751611	1.2142857142857142	0.8615513928914506	0.7475083056478405
16	fumarate reductase (frdAB)	4.121265377855887	4.75	3.3411383285302594	3.4828349944629013
17	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase (korABCD/oorABCD)	8.38605741066198	11.714285714285714	8.228866474543707	7.967884828349945
18	sulfite reductase (dsrAB)	4.285295840656122	5.821428571428571	3.7277857829010568	3.6323366555924697
19	sulfate adenylyltransferase (sat/met3)	0.492091388400703	0.48214285714285715	0.5043227665706052	0.4540420819490587
20	sulfur-oxidizing protein Sox (soxABCXYZ)	5.105448154657293	5.160714285714286	4.379202689721422	4.069767441860465
21	sulfide:quinone oxidoreductase (sqr)	3.875219683655536	4.910714285714286	3.463016330451489	3.2613510520487266
22	iron transport protein (FeoB/C)	3.731693028705331	3.9642857142857144	4.488472622478386	4.6788482834994465
23	iron transport protein (FeoA)	0.4510837727006444	0.3392857142857143	0.23535062439961574	0.23255813953488372
