	gene_group	mT_FS851	mT_FS852	mT_FS854	mT_FS856
0	ech hydrogenase (echABCE)	0.00023128553543601396	0.00017799953333555793	0.00023574932818617737	0.00017433510373891713
1	energy-converting hydrogenase A (ehaBCEGNOP)	0.00039310889693043783	0.0004400798385330088	0.00026416453182042185	0.0003380057515118864
2	energy-converting hydrogenase B (ehbAHFIJKLNO)	0.00018168475085111494	0.00015367603853549093	0.00012275664919123393	0.00013820573450293492
3	coenzyme F420 hydrogenase (frhABDG)	0.0005491112906791465	0.0006820033330256777	0.0004289005966818042	0.0005338803227732981
4	hydrogenase (hyaABC/hybO/hybC)	0.00033280541210627004	0.00026265928686161215	0.0001102671101964858	0.00018652639556651784
5	[NiFe] hydrogenase (hydAB)	0.0001348925087519487	8.945345022608028e-05	3.8210989808727075e-05	6.608613510545981e-05
6	methane/ammonia monooxygenase (pmoA-amoA)	3.8485737161754267e-07	1.2007735144913952e-08	0.0	4.679013124420027e-08
7	methyl-coenzyme M reductase (mcrABCDG)	4.116599385694787e-05	7.449076808463532e-05	9.703873348594304e-06	5.129675967456272e-06
8	nitrous-oxide reductase (nosZ)	4.116599385694787e-06	8.475372710544918e-06	3.7684258614213213e-06	7.882905795404477e-06
9	nitrite reductase (NO-forming)/hydroxylamine reductase (nirKS)	2.6495597381717254e-05	4.2349193554347175e-05	2.734053059308865e-05	5.8458112393411894e-05
10	nitric oxide reductase (norB)	5.788209052774078e-05	2.6189914501939496e-05	6.006149660933232e-05	2.9671099805039315e-05
11	nitrite reductase (cytochrome c-552) (nrfA)	3.3668147563470385e-05	2.5542018879555228e-05	1.3822274970128861e-05	3.1410953895777606e-05
12	cytochrome c oxidase (coxABCD/AC/ctaF)	7.435536052358453e-05	0.00013641935690592632	7.923946124180012e-05	0.00017082584389560213
13	cytochrome c oxidase cbb3-type (ccoNOPQ_NO)	0.0002530918290099865	0.00023213040336883003	0.00020474288988361978	0.00033087518177411893
14	carbon-monoxide dehydrogenase (cooCFS/acsA)	0.0004370307444662899	0.0006174721981305869	0.0004377772545974035	0.0005897674405867656
15	ATP-citrate lyase (aclAB)	9.477800021388449e-05	0.00022118404759563826	0.00012277785984336203	9.342881022147852e-05
16	fumarate reductase (frdAB)	0.0001840122216223258	0.00023315523745967638	0.00026719411996604855	0.00022620935213857275
17	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase (korABCD/oorABCD)	0.0004818437200828516	0.0005593699002169948	0.000276367727011441	0.0004094111857482658
18	sulfite reductase (dsrAB)	0.00018550354393734376	0.0002573080135905092	0.0001274936948331707	0.0002099990343009439
19	sulfate adenylyltransferase (sat/met3)	9.960475308292116e-06	1.4369082364933336e-05	8.477190633853967e-06	1.7016831941969678e-05
20	sulfur-oxidizing protein Sox (soxABCXYZ)	0.00020073977238155972	0.00018896050722110003	0.00014670701055251862	0.00028181942312230476
21	sulfide:quinone oxidoreductase (sqr)	0.00014603733680504006	0.00019217022703287964	0.0001764337395100157	0.00022086665794203103
22	iron transport protein (FeoB/C)	0.00022684593075628301	0.00021402482707206412	0.0001338639606889692	0.0002872778613277137
23	iron transport protein (FeoA)	9.944439584474718e-06	1.0997519166417932e-05	8.717578024638817e-06	1.691093848704859e-05
