	cogid	mG_FS851_NumReads	mG_FS852_NumReads	mG_FS854_NumReads	mG_FS856_NumReads
0	COG0012	142.0	213.0	1040.0	989.0
1	COG0016	33.0	46.0	198.0	172.0
2	COG0048	31.0	25.0	15.0	4.0
3	COG0049	48.0	49.0	68.0	28.0
4	COG0052	8.0	27.0	191.0	128.0
5	COG0080	24.0	29.0	54.0	43.0
6	COG0081	27.0	28.0	119.0	66.0
7	COG0085	105.0	176.0	957.0	641.0
8	COG0087	16.0	28.0	86.0	58.0
9	COG0088	8.0	8.0	70.0	20.0
10	COG0090	34.0	36.0	72.0	37.0
11	COG0091	13.0	22.0	83.0	29.0
12	COG0092	34.0	34.0	236.0	128.0
13	COG0093	31.0	43.0	58.0	23.0
14	COG0094	7.0	4.0	73.0	33.0
15	COG0096	38.0	34.0	86.0	49.0
16	COG0097	20.0	10.0	139.0	62.0
17	COG0098	32.0	25.0	67.0	20.0
18	COG0099	37.0	30.0	23.0	15.0
19	COG0100	27.0	60.0	27.0	4.0
20	COG0102	33.0	62.0	101.0	98.0
21	COG0103	55.0	47.0	54.0	31.0
22	COG0124	55.0	83.0	415.0	309.0
23	COG0184	8.0	19.0	55.0	25.0
24	COG0185	24.0	26.0	52.0	14.0
25	COG0186	9.0	14.0	87.0	19.0
26	COG0197	27.0	29.0	56.0	21.0
27	COG0200	20.0	19.0	30.0	10.0
28	COG0201	34.0	45.0	335.0	218.0
29	COG0256	43.0	14.0	36.0	10.0
30	COG0495	22.0	29.0	142.0	104.0
31	COG0522	116.0	93.0	413.0	311.0
32	COG0525	25.0	99.0	436.0	448.0
33	COG0533	182.0	157.0	454.0	332.0
34	COG0541	339.0	297.0	2000.0	1822.0
